Track.Name,Artist,songId,Region,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01
Suena El Dembow,Joey Montana,5TysCiZtv1HnSWcTcUFusI,Ecuador,,,,,,,,,,3,4,
Criminal,Natti Natasha,2SmgFAhQkQCQPyBiBxR6Te,Ecuador,,,,,,,,,,5,10,
Se Preparó,Ozuna,1m69ELEgE6k5ZWsap40ozt,Ecuador,,,,,,,,,,6,9,9
Que Va,Alex Sensation,7ofxPmTNMj2GP07g1VZa0O,Ecuador,,,,,,,,,,9,5,7
Criminal,Natti Natasha,6Za3190Sbw39BBC77WSS1C,Ecuador,,,,,,,,,,,2,4
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,33bnxcjePIkcmNjEFTJX0l,Ecuador,,,,,,,,,,,3,2
Échame La Culpa,Luis Fonsi,1zsG4eaZmkA1dvjDDsAGLK,Ecuador,,,,,,,,,,,6,1
Robarte un Beso,Carlos Vives,0JcNysfWVWaMS7R6vzGB2k,Ecuador,,,,,,,,,,,7,8
Sensualidad,Bad Bunny,5hcisvFMidkMJlElTO9Qmw,Ecuador,,,,,,,,,,,8,5
Corazón,Maluma,4lESS6vuruP6a79KWRaQou,Ecuador,,,,,,,,,,,,3
Downtown,Anitta,3Ga6eKrUFf12ouh9Yw3v2D,Ecuador,,,,,,,,,,,,10
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,France,1,1,1,1,2,3,5,8,,,,
Afro Trap Pt. 7 (La puissance),MHD,6x8j5V85ZJHtvOSjSamcVc,France,2,,,,,,,,,,,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,5knuzwU65gJK7IF5yJsuaW,France,3,5,,,,,,,,,,
Mauvaise graine,Nekfeu,4kKJ5CjwCtksszPMntho4N,France,4,,,,,,,,,,,
Tchoin,Kaaris,0ban5QRXUveaKtQPGuaoQ9,France,5,6,,,,,,,,,,
Starboy,The Weeknd,5aAx2yezTd8zXrkmtKl66Z,France,6,,,,,,,,,,,
Squa,Nekfeu,11hj8c8BCRd5ND3CRhZSvt,France,7,,,,,,,,,,,
Je m'en vais,Vianney,2Vd1vVQaBilW0O6nmU5BkH,France,8,4,,,,,,,,,,
Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,France,9,,,,,,,,,,,
Sunset Lover,Petit Biscuit,0hNduWmlWmEmuwEFcYvRu1,France,10,10,,,,,,,,,,
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3NdDpSvN911VPGivFlV5d0,France,,2,4,,,,,,,,,
Tout l'monde s'en fout,Sofiane,7syABtsvHvD3nO7OG91Ani,France,,3,9,,,,,,,,,
Traîtres,Lacrim,6NOBQsQ2TsAK8ieuFEB0O6,France,,7,,,,,,,,,,
Bené,PNL,00X2yv2vrtritPt2CZnUTZ,France,,8,7,,,,,,,,,
Grande armée,Lacrim,28co1mTCrGIGOeGzqLjSat,France,,9,,,,,,,,,,
It Ain't Me (with Selena Gomez),Kygo,3eR23VReFzcdmS7TYCrhCe,France,,,2,3,,,,,,,,
Call On Me - Ryan Riback Extended Remix,Starley,78rIJddV4X0HkNAInEcYde,France,,,3,7,,,,,,,,
You Don't Know Me - Radio Edit,Jax Jones,00lNx0OcTJrS3MKHcB80HY,France,,,5,4,,,,,,,,
Afro Trap Pt. 8 (Never),MHD,1MUxJxub6ovS0rzTHRgyoF,France,,,6,,,,,,,,,
Passionfruit,Drake,7hDc8b7IXETo14hHIHdnhd,France,,,8,5,,,,,,,,
Castle on the Hill,Ed Sheeran,6PCUP3dWmTjcTtXY02oFdT,France,,,10,,,,,,,,,
Mask Off,Future,3rOSwuTsUlJp0Pu0MkN8r8,France,,,,2,6,9,,,,,,
Oh bah oui,Lacrim,0z18wqbjuXTxzaNm4oegU2,France,,,,6,,,,,,,,
HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,France,,,,8,,,,,,,,
Despacito (Featuring Daddy Yankee),Luis Fonsi,4aWmUDTfIPGksMNLV2rQP2,France,,,,9,,8,,,,,,
Α. Nwaar Is The New Black,Damso,57U26FwUclMqyZ5ylnPpw1,France,,,,10,3,,,,,,,
Θ. Macarena,Damso,2UZW9WOPXdxw9YMG1bebS8,France,,,,,1,1,1,4,,,,
Despacito - Remix,Luis Fonsi,5CtI0qwDJkDQGwXD1H1cLb,France,,,,,4,2,4,,,,,
Γ. Mosaïque solitaire,Damso,1E3zyoTHtJzsu5CjwIFIhY,France,,,,,5,,,,,,,
Ε. Signaler,Damso,03aduXwm6cTqO9bb4XFQ2b,France,,,,,7,,,,,,,
B. #QuedusaalVie,Damso,4HvYhaXDmmAW6ZmPcgPZca,France,,,,,8,,,,,,,
I'm the One,DJ Khaled,72Q0FQQo32KJloivv5xge2,France,,,,,9,,,,,,,
Space Jam,Mister V,00cbRAOr6wTPE9WBMejhiM,France,,,,,10,,,,,,,
I'm the One,DJ Khaled,3DXncPQOG4VBw3QHh3S817,France,,,,,,4,,,,,,
Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,France,,,,,,5,10,,,,,
Chocolat (feat. Awa),Lartiste,4fwtP5khM1iEoa6BP1QQsX,France,,,,,,6,9,,,,,
Wild Thoughts,DJ Khaled,1OAh8uOEOvTDqkKFsKksCi,France,,,,,,7,2,7,,,,
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,6kex4EBAj0WHXDKZMEJaaF,France,,,,,,10,,,,,,
Réseaux,Niska,2Pu2Kcm1cwFg4dDSdmFip4,France,,,,,,,3,1,1,,,
Feels,Calvin Harris,5bcTCxgc7xVfSaMV3RuVke,France,,,,,,,6,6,,,,
Mamacita,Ninho,08GhiNwYij4HNVkBZnJvft,France,,,,,,,7,2,,,,
