"name","nTracks","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence",
"Arttu Wiskari"," 1"," 0.729"," 0.8"," 0.0694"," 0.033"," 0.0"," 0.436"," 0.859"," "
"Aste"," 1"," 0.771"," 0.873"," 0.11"," 0.442"," 0.0"," 0.235"," 0.428"," "
"Astrid S"," 4"," 0.70725"," 0.7262500000000001"," 0.10872499999999999"," 0.1271"," 4.5029999999999994e-05"," 0.122"," 0.49975"," "
"Attan"," 2"," 0.8225"," 0.5445"," 0.061200000000000004"," 0.3135"," 6.481999999999999e-05"," 0.1041"," 0.46499999999999997"," "
"Avicii"," 6"," 0.7120000000000001"," 0.677"," 0.057350000000000005"," 0.08263166666666667"," 0.0025360033333333334"," 0.06625"," 0.43783333333333335"," "
"Axwell /\ Ingrosso"," 4"," 0.64625"," 0.769"," 0.067425"," 0.107425"," 0.0"," 0.226925"," 0.57525"," "
"Ayse Hatun Onal"," 1"," 0.735"," 0.603"," 0.0338"," 0.0966"," 0.0619"," 0.0926"," 0.644"," "
"Azet"," 2"," 0.7295"," 0.868"," 0.1555"," 0.110555"," 5.2e-07"," 0.09090000000000001"," 0.625"," "
"Azzi Memo"," 1"," 0.713"," 0.781"," 0.16"," 0.268"," 0.0"," 0.0964"," 0.646"," "
"Í svörtum fötum"," 1"," 0.479"," 0.631"," 0.0276"," 0.00694"," 0.0"," 0.113"," 0.64"," "
"Baby K"," 1"," 0.756"," 0.67"," 0.0828"," 0.0871"," 0.0"," 0.169"," 0.674"," "
"Bad Bunny"," 8"," 0.8061250000000001"," 0.636125"," 0.1832875"," 0.448"," 0.00099125"," 0.11361249999999999"," 0.48175000000000007"," "
"Baggalútur"," 1"," 0.475"," 0.744"," 0.0462"," 0.174"," 0.0"," 0.0621"," 0.925"," "
"Band Aid"," 1"," 0.599"," 0.642"," 0.0363"," 0.164"," 3.33e-05"," 0.0992"," 0.349"," "
"Basim"," 2"," 0.706"," 0.7195"," 0.09055"," 0.035845"," 0.0"," 0.11864999999999999"," 0.427"," "
"Bausa"," 1"," 0.874"," 0.487"," 0.0641"," 0.393"," 2.96e-05"," 0.0524"," 0.746"," "
"Bebe Rexha"," 1"," 0.643"," 0.783"," 0.0856"," 0.047"," 0.0"," 0.083"," 0.579"," "
"Becky G"," 1"," 0.743"," 0.855"," 0.0436"," 0.141"," 0.0045"," 0.099"," 0.871"," "
"Bedoes"," 1"," 0.583"," 0.572"," 0.0726"," 0.279"," 0.0"," 0.0927"," 0.728"," "
"Benash"," 1"," 0.715"," 0.703"," 0.165"," 0.367"," 0.0"," 0.147"," 0.569"," "
