danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.411,0.757,1,-8.796,1,0.14,0.0275,0.000947,0.0978,0.652,173.734,audio_features,6O3lAhTuMrbxKaRh3ttNR3,spotify:track:6O3lAhTuMrbxKaRh3ttNR3,https://api.spotify.com/v1/tracks/6O3lAhTuMrbxKaRh3ttNR3,https://api.spotify.com/v1/audio-analysis/6O3lAhTuMrbxKaRh3ttNR3,224398,4
0.739,0.869,10,-4.805,0,0.205,0.368,0,0.0865,0.623,130.011,audio_features,5OXo9FTWP1urs0BxC4QNSl,spotify:track:5OXo9FTWP1urs0BxC4QNSl,https://api.spotify.com/v1/tracks/5OXo9FTWP1urs0BxC4QNSl,https://api.spotify.com/v1/audio-analysis/5OXo9FTWP1urs0BxC4QNSl,221953,4
0.564,0.627,6,-5.981,1,0.0257,0.119,0,0.0952,0.586,140.119,audio_features,022vRxnKGrZnWEdip4mYJD,spotify:track:022vRxnKGrZnWEdip4mYJD,https://api.spotify.com/v1/tracks/022vRxnKGrZnWEdip4mYJD,https://api.spotify.com/v1/audio-analysis/022vRxnKGrZnWEdip4mYJD,192000,4
0.756,0.698,1,-5.31,1,0.382,0.0354,0,0.345,0.193,133.991,audio_features,4UYmxKlcbSGBfn4Ir5LX2o,spotify:track:4UYmxKlcbSGBfn4Ir5LX2o,https://api.spotify.com/v1/tracks/4UYmxKlcbSGBfn4Ir5LX2o,https://api.spotify.com/v1/audio-analysis/4UYmxKlcbSGBfn4Ir5LX2o,241589,4
0.494,0.693,1,-5.801,0,0.0523,0.0129,0.000336,0.965,0.461,127.952,audio_features,5KGnjwIaZrWrzM4jjvlDdn,spotify:track:5KGnjwIaZrWrzM4jjvlDdn,https://api.spotify.com/v1/tracks/5KGnjwIaZrWrzM4jjvlDdn,https://api.spotify.com/v1/audio-analysis/5KGnjwIaZrWrzM4jjvlDdn,219375,4
0.619,0.844,9,-4.508,0,0.0366,0.0536,0.000782,0.362,0.388,103.013,audio_features,0th5OXHCY4lY1LlcndK06Y,spotify:track:0th5OXHCY4lY1LlcndK06Y,https://api.spotify.com/v1/tracks/0th5OXHCY4lY1LlcndK06Y,https://api.spotify.com/v1/audio-analysis/0th5OXHCY4lY1LlcndK06Y,184223,4
0.814,0.768,0,-4.554,1,0.034,0.00113,0,0.137,0.544,132.996,audio_features,1OS8DsAeeYMQEMuc5RoaZH,spotify:track:1OS8DsAeeYMQEMuc5RoaZH,https://api.spotify.com/v1/tracks/1OS8DsAeeYMQEMuc5RoaZH,https://api.spotify.com/v1/audio-analysis/1OS8DsAeeYMQEMuc5RoaZH,184924,4
0.602,0.762,2,-6.149,0,0.0347,0.0498,0.00819,0.121,0.112,92.02,audio_features,22fRl49GSpRdu3J2EPj1i6,spotify:track:22fRl49GSpRdu3J2EPj1i6,https://api.spotify.com/v1/tracks/22fRl49GSpRdu3J2EPj1i6,https://api.spotify.com/v1/audio-analysis/22fRl49GSpRdu3J2EPj1i6,159987,4
0.538,0.644,7,-6.359,1,0.0398,0.18,0.00335,0.108,0.345,89.926,audio_features,3v0XDL2l9Y6IKv8WgLOuCX,spotify:track:3v0XDL2l9Y6IKv8WgLOuCX,https://api.spotify.com/v1/tracks/3v0XDL2l9Y6IKv8WgLOuCX,https://api.spotify.com/v1/audio-analysis/3v0XDL2l9Y6IKv8WgLOuCX,215000,4
0.777,0.409,10,-12.604,0,0.059,0.15,0.0707,0.534,0.342,105.026,audio_features,04O8T7uxvTFBQXyBHNwxbr,spotify:track:04O8T7uxvTFBQXyBHNwxbr,https://api.spotify.com/v1/tracks/04O8T7uxvTFBQXyBHNwxbr,https://api.spotify.com/v1/audio-analysis/04O8T7uxvTFBQXyBHNwxbr,280160,4
0.799,0.302,7,-9.019,0,0.1,0.546,0.000499,0.613,0.443,80.015,audio_features,481MO9BRggeCMKfXey5M5z,spotify:track:481MO9BRggeCMKfXey5M5z,https://api.spotify.com/v1/tracks/481MO9BRggeCMKfXey5M5z,https://api.spotify.com/v1/audio-analysis/481MO9BRggeCMKfXey5M5z,162002,4
0.648,0.727,9,-6.235,0,0.0555,0.0203,0.000978,0.11,0.714,113.901,audio_features,2HyTx7PCtwelbr4PbJbAO2,spotify:track:2HyTx7PCtwelbr4PbJbAO2,https://api.spotify.com/v1/tracks/2HyTx7PCtwelbr4PbJbAO2,https://api.spotify.com/v1/audio-analysis/2HyTx7PCtwelbr4PbJbAO2,217493,4
0.559,0.787,1,-3.828,1,0.295,0.165,0,0.101,0.591,88.047,audio_features,3lo6uEBkWFU2LvkafXRB2w,spotify:track:3lo6uEBkWFU2LvkafXRB2w,https://api.spotify.com/v1/tracks/3lo6uEBkWFU2LvkafXRB2w,https://api.spotify.com/v1/audio-analysis/3lo6uEBkWFU2LvkafXRB2w,220220,5
0.809,0.788,10,-5.127,0,0.0457,0.354,0.0905,0.181,0.465,126.056,audio_features,5ny3aGy1iJBbU1HY7Su1Wk,spotify:track:5ny3aGy1iJBbU1HY7Su1Wk,https://api.spotify.com/v1/tracks/5ny3aGy1iJBbU1HY7Su1Wk,https://api.spotify.com/v1/audio-analysis/5ny3aGy1iJBbU1HY7Su1Wk,192585,4
0.582,0.00772,10,-12.678,1,0.324,0.689,0.967,0.06,0.176,69.507,audio_features,3lqCBFHBaS16KRnfgsluip,spotify:track:3lqCBFHBaS16KRnfgsluip,https://api.spotify.com/v1/tracks/3lqCBFHBaS16KRnfgsluip,https://api.spotify.com/v1/audio-analysis/3lqCBFHBaS16KRnfgsluip,183483,3
0.941,0.384,0,-12.783,1,0.16,0.174,0.0152,0.093,0.517,120.01,audio_features,0cItyj95uqYjvYGchMLzIh,spotify:track:0cItyj95uqYjvYGchMLzIh,https://api.spotify.com/v1/tracks/0cItyj95uqYjvYGchMLzIh,https://api.spotify.com/v1/audio-analysis/0cItyj95uqYjvYGchMLzIh,209750,4
0.706,0.644,8,-7.045,0,0.0372,0.0136,0.000032,0.187,0.357,126.02,audio_features,3ETIdeZcAiPQkHS1h0lyiY,spotify:track:3ETIdeZcAiPQkHS1h0lyiY,https://api.spotify.com/v1/tracks/3ETIdeZcAiPQkHS1h0lyiY,https://api.spotify.com/v1/audio-analysis/3ETIdeZcAiPQkHS1h0lyiY,186579,4
0.545,0.446,11,-8.336,1,0.0468,0.345,0,0.187,0.247,134.148,audio_features,0Y8SZ31usjm6fWbwzggP3H,spotify:track:0Y8SZ31usjm6fWbwzggP3H,https://api.spotify.com/v1/tracks/0Y8SZ31usjm6fWbwzggP3H,https://api.spotify.com/v1/audio-analysis/0Y8SZ31usjm6fWbwzggP3H,178881,4
0.627,0.721,0,-7.782,0,0.0304,0.296,0.0000641,0.231,0.383,130.08,audio_features,728zbo72kOoYdGR3AhNsyF,spotify:track:728zbo72kOoYdGR3AhNsyF,https://api.spotify.com/v1/tracks/728zbo72kOoYdGR3AhNsyF,https://api.spotify.com/v1/audio-analysis/728zbo72kOoYdGR3AhNsyF,238373,4
0.723,0.669,0,-6.784,1,0.0348,0.0522,0.192,0.109,0.35,125.051,audio_features,5CPqOpKSk0QcJ3dGdaWcRB,spotify:track:5CPqOpKSk0QcJ3dGdaWcRB,https://api.spotify.com/v1/tracks/5CPqOpKSk0QcJ3dGdaWcRB,https://api.spotify.com/v1/audio-analysis/5CPqOpKSk0QcJ3dGdaWcRB,224133,4
