name,nTracks,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
John Lennon, 1, 0.328, 0.607, 11.076, 0.0315, 0.319, 0.0, 0.765, 0.395, 146.539, 
Freddy Kalas, 1, 0.726, 0.589, 5.591, 0.0528, 0.173, 0.0, 0.0742, 0.577, 79.984, 
Ruben, 1, 0.532, 0.646, 5.137, 0.057, 0.0495, 0.0, 0.108, 0.44, 180.075, 
Machine Gun Kelly, 2, 1.35, 1.4089999999999998, 9.989, 0.359, 0.21813, 0.0, 0.2387, 0.521, 219.887, 
Fabio Rovazzi, 2, 1.457, 1.6360000000000001, 7.260999999999999, 0.1002, 0.028229999999999998, 3.65e-06, 0.3876, 0.949, 278.03, 
J-AX, 7, 4.354, 4.715999999999999, 45.053999999999995, 0.7564, 0.8474, 0.0, 0.7941, 3.492, 683.8729999999999, 
lowlow, 1, 0.683, 0.745, 6.2, 0.28, 0.093, 0.0, 0.127, 0.31, 95.933, 
Ghali, 8, 6.062, 5.9190000000000005, 44.44700000000001, 0.6406, 1.8431, 0.010285319999999999, 1.0357, 4.452, 1007.7819999999999, 
Tiziano Ferro, 1, 0.532, 0.687, 5.709, 0.0768, 0.0192, 0.0, 0.168, 0.331, 81.888, 
Fabrizio Moro, 1, 0.529, 0.484, 6.632, 0.0308, 0.133, 0.0, 0.104, 0.281, 125.931, 
Michele Bravi, 1, 0.41, 0.4, 7.103, 0.0361, 0.526, 0.0, 0.128, 0.316, 149.287, 
Francesco Gabbani, 1, 0.668, 0.834, 3.997, 0.0758, 0.0428, 3.23e-06, 0.104, 0.565, 114.07, 
Fiorella Mannoia, 1, 0.537, 0.775, 4.978, 0.112, 0.134, 0.0, 0.119, 0.382, 151.654, 
Ermal Meta, 1, 0.531, 0.909, 3.776, 0.048, 0.0187, 0.0, 0.273, 0.608, 97.987, 
Sfera Ebbasta, 3, 2.309, 1.8780000000000001, 14.868, 0.091, 1.074, 9.04e-06, 0.2787, 2.3320000000000003, 356.162, 
Charlie Charles, 2, 1.476, 1.659, 10.036999999999999, 0.416, 0.0992, 0.0, 0.17270000000000002, 1.387, 231.94099999999997, 
Gue Pequeno, 11, 8.562, 6.518000000000001, 78.16899999999998, 1.4289999999999998, 2.3102, 0.0015348, 2.3713, 5.462999999999999, 1331.1180000000002, 
Dark Polo Gang, 15, 11.184999999999999, 8.23, 104.84400000000001, 2.2145, 2.9512999999999994, 0.004465790000000001, 2.8093000000000004, 5.4285999999999985, 1919.1100000000001, 
Sean Paul, 1, 0.741, 0.891, 2.824, 0.119, 0.0437, 0.0, 0.256, 0.449, 102.002, 
Noyz Narcos, 1, 0.705, 0.885, 3.941, 0.382, 0.439, 0.0, 0.129, 0.446, 123.734, 
Fabri Fibra, 1, 0.658, 0.763, 6.276, 0.155, 0.00722, 0.0, 0.118, 0.444, 107.849, 
Capo Plaza, 2, 1.241, 1.2759999999999998, 13.306000000000001, 0.635, 0.671, 0.0, 0.375, 0.32030000000000003, 283.111, 
Vegas Jones, 2, 1.499, 1.151, 19.897, 0.46299999999999997, 0.2383, 0.00017457, 0.1915, 0.5326, 296.20000000000005, 
Amedeo Preziosi, 1, 0.72, 0.826, 2.746, 0.117, 0.133, 0.0, 0.133, 0.333, 128.021, 
Baby K, 1, 0.756, 0.67, 5.296, 0.0828, 0.0871, 0.0, 0.169, 0.674, 94.004, 
Thegiornalisti, 1, 0.594, 0.905, 4.921, 0.0851, 0.0127, 0.0, 0.0514, 0.559, 109.928, 
Salmo, 2, 1.3090000000000002, 1.572, 10.317, 0.636, 0.211, 0.0, 0.1506, 1.4420000000000002, 250.808, 
Takagi & Ketra, 1, 0.818, 0.714, 5.39, 0.0335, 0.0707, 0.0, 0.0901, 0.78, 118.019, 
Jake La Furia, 1, 0.678, 0.81, 5.756, 0.0342, 0.00429, 0.0, 0.0597, 0.57, 123.989, 
Rkomi, 4, 2.318, 3.058, 22.756, 0.4999, 0.5349, 0.0, 1.0706, 0.9987999999999999, 471.989, 
Benji & Fede, 1, 0.753, 0.775, 5.97, 0.0805, 0.0279, 0.0, 0.11, 0.646, 100.074, 
Shade, 2, 1.494, 1.746, 6.763999999999999, 0.2481, 0.506, 0.0, 0.2649, 1.604, 256.183, 
Caparezza, 1, 0.683, 0.729, 5.417, 0.0344, 0.00572, 0.00332, 0.0507, 0.862, 127.029, 
Coez, 4, 2.8179999999999996, 2.0300000000000002, 26.421, 0.1581, 1.717, 2.18e-06, 1.75, 1.711, 484.765, 
RIKI, 1, 0.475, 0.597, 4.27, 0.0305, 0.532, 0.0, 0.127, 0.212, 75.184, 
Gemitaiz, 2, 1.3849999999999998, 1.443, 14.3, 0.2994, 0.2349, 0.0, 0.1992, 0.96, 226.964, 
P!nk, 2, 0.875, 1.182, 12.363, 0.1072, 0.0539, 5.14e-06, 0.1779, 0.374, 227.46, 
Lazza, 1, 0.769, 0.688, 7.357, 0.0812, 0.00453, 0.0, 0.0976, 0.443, 122.94, 
Cromo, 1, 0.662, 0.656, 9.112, 0.123, 0.0514, 0.0, 0.152, 0.244, 104.047, 
Cesare Cremonini, 1, 0.238, 0.618, 6.506, 0.0373, 0.0137, 0.0, 0.0727, 0.206, 139.878, 
Jovanotti, 1, 0.663, 0.868, 8.424, 0.156, 0.244, 0.0, 0.287, 0.687, 90.881, 
Madman, 1, 0.778, 0.842, 4.589, 0.117, 0.144, 0.0, 0.126, 0.22, 146.926, 
Tedua, 1, 0.736, 0.493, 11.862, 0.37, 0.243, 0.0, 0.186, 0.452, 126.977, 
Måneskin, 2, 1.319, 1.7850000000000001, 5.8309999999999995, 0.0711, 0.013260000000000001, 0.0, 0.1439, 1.861, 215.89499999999998, 
Enrico Nigiotti, 2, 0.815, 1.383, 13.699, 0.1282, 0.406, 5.12e-06, 0.364, 0.621, 184.892, 
Nitro, 2, 1.543, 1.664, 9.469, 0.512, 0.1898, 0.0, 0.7050000000000001, 0.849, 253.77100000000002, 
Calcutta , 1, 0.653, 0.428, 6.532, 0.0405, 0.463, 0.0, 0.0706, 0.326, 95.034, 
Jon Bellion, 1, 0.617, 0.567, 4.188, 0.0828, 0.0584, 0.0, 0.0933, 0.505, 90.246, 
Zedd, 2, 1.35, 1.262, 10.073, 0.14129999999999998, 0.453, 0.0, 0.229, 1.0350000000000001, 204.05, 
Harry Styles, 2, 1.034, 1.17, 9.245999999999999, 0.0615, 0.0534, 0.0, 0.218, 0.431, 239.99099999999999, 
Shawn Mendes, 3, 1.9499999999999997, 2.2830000000000004, 13.061, 0.4213, 0.641, 0.0, 0.3153, 2.161, 435.74800000000005, 
Blanche, 1, 0.607, 0.449, 8.785, 0.027, 0.234, 7.31e-06, 0.208, 0.142, 129.947, 
Salvador Sobral, 3, 1.228, 0.483, 47.41, 0.1321, 2.393, 0.010605, 0.4481, 0.909, 371.081, 
Sunstroke Project, 2, 1.665, 1.613, 11.892, 0.223, 0.453, 0.01895, 0.1362, 1.2810000000000001, 220.211, 
Kristian Kostov, 1, 0.408, 0.506, 8.24, 0.0355, 0.419, 0.0, 0.108, 0.213, 125.576, 
Robin Bengtsson, 1, 0.733, 0.672, 5.047, 0.0427, 0.0308, 0.0, 0.163, 0.463, 109.007, 
Cheat Codes, 1, 0.741, 0.667, 5.445, 0.134, 0.0575, 0.0, 0.106, 0.595, 112.956, 
Radistai Dj's, 1, 0.76, 0.752, 4.134, 0.0438, 0.277, 1.32e-05, 0.128, 0.406, 134.937, 
Liam Payne, 3, 2.226, 1.7810000000000001, 15.645999999999999, 0.1473, 0.4848, 0.0, 0.3786, 1.2400000000000002, 324.99699999999996, 
Rita Ora, 2, 1.483, 1.421, 8.046, 0.1084, 0.19440000000000002, 0.0, 0.1553, 1.283, 224.889, 
Lauv, 2, 1.178, 0.913, 17.04, 0.3054, 1.306, 1.043e-05, 0.498, 0.9470000000000001, 168.279, 
Demi Lovato, 4, 2.812, 2.529, 27.65, 0.983, 0.0906, 0.0, 1.1099999999999999, 3.4669999999999996, 576.13, 
XXXTENTACION, 2, 1.669, 0.924, 18.884, 0.2832, 0.48619999999999997, 0.00015613, 0.39999999999999997, 0.766, 265.057, 
Brenda Lee, 1, 0.703, 0.407, 12.155, 0.0504, 0.706, 0.0, 0.45, 0.849, 140.057, 
Andy Williams, 1, 0.24, 0.598, 8.435, 0.037, 0.766, 0.0, 0.117, 0.776, 202.082, 
Anita Kerr Singers, 1, 0.741, 0.326, 12.045, 0.0395, 0.918, 0.0, 0.0658, 0.751, 120.992, 
Band Aid, 1, 0.599, 0.642, 6.936, 0.0363, 0.164, 3.33e-05, 0.0992, 0.349, 115.412, 
Bobby Helms, 1, 0.741, 0.34, 13.421, 0.0446, 0.614, 0.0, 0.0955, 0.838, 119.606, 
Bing Crosby, 2, 0.9650000000000001, 0.386, 28.82, 0.0835, 1.4420000000000002, 0.353, 0.4363, 0.75, 256.029, 
Burl Ives, 1, 0.674, 0.37, 12.937, 0.0309, 0.616, 0.0, 0.0781, 0.862, 140.352, 
Michael Jackson, 1, 0.92, 0.654, 3.051, 0.0401, 0.0236, 0.0158, 0.0359, 0.847, 117.046, 
Donny Montell, 1, 0.701, 0.942, 3.674, 0.052, 0.107, 1.77e-06, 0.119, 0.182, 99.958, 
Justin Timberlake, 1, 0.745, 0.579, 5.771, 0.138, 0.0354, 0.0118, 0.246, 0.645, 97.002, 
Hailee Steinfeld, 2, 1.295, 1.35, 8.432, 0.18409999999999999, 0.4103, 0.0, 0.1789, 1.222, 202.757, 
Little Mix, 1, 0.607, 0.718, 4.095, 0.0978, 0.032, 0.0, 0.403, 0.551, 101.821, 
Inigo Pascual, 1, 0.764, 0.894, 2.892, 0.0327, 0.227, 0.0, 0.0906, 0.963, 99.986, 
LANY, 1, 0.754, 0.458, 6.852, 0.144, 0.105, 0.0, 0.249, 0.495, 96.011, 
KZ Tandingan, 1, 0.37, 0.434, 5.935, 0.0311, 0.774, 1.58e-06, 0.0993, 0.201, 139.839, 
Khalid, 2, 1.534, 0.988, 17.813, 0.46709999999999996, 0.529, 0.0001786, 0.2548, 0.72, 217.07500000000002, 
Moira Dela Torre, 3, 1.311, 0.937, 28.305, 0.1356, 2.066, 0.00011366, 0.5879, 1.1, 409.418, 
O.C. Dawgs, 1, 0.724, 0.684, 4.919, 0.0569, 0.718, 0.0, 0.0925, 0.765, 80.004, 
NICKTHEREAL, 1, 0.579, 0.806, 4.281, 0.0446, 0.0309, 0.0, 0.071, 0.373, 159.975, 
Joker Xue, 1, 0.53, 0.432, 10.678, 0.0472, 0.399, 7.81e-06, 0.113, 0.186, 182.842, 
Eric Chou, 1, 0.439, 0.477, 5.638, 0.0307, 0.643, 0.0, 0.114, 0.535, 159.819, 
Chanyeol, 1, 0.314, 0.526, 4.686, 0.0484, 0.428, 0.0, 0.126, 0.195, 78.643, 
G.E.M., 1, 0.539, 0.668, 6.825, 0.0825, 0.4, 0.0, 0.0864, 0.238, 175.867, 
Mayday, 1, 0.428, 0.604, 3.694, 0.0295, 0.0115, 0.0, 0.0828, 0.222, 155.921, 
Namewee, 1, 0.51, 0.73, 6.149, 0.187, 0.36, 0.0, 0.128, 0.284, 173.937, 
Lady Gaga, 1, 0.696, 0.503, 4.842, 0.0356, 0.0745, 0.0, 0.0869, 0.559, 99.977, 
Nana Lee, 1, 0.532, 0.419, 9.18, 0.0371, 0.524, 1.03e-05, 0.104, 0.316, 170.011, 
Crowd Lu, 1, 0.666, 0.217, 11.042, 0.0335, 0.786, 0.0, 0.0766, 0.395, 82.011, 
No Party For Cao Dong, 2, 1.2309999999999999, 1.2770000000000001, 18.163, 0.1336, 0.1095, 0.002667, 0.1756, 0.9139999999999999, 290.89599999999996, 
Jia Jia, 1, 0.552, 0.543, 6.272, 0.0277, 0.421, 0.0, 0.107, 0.181, 132.103, 
Li Yugang, 1, 0.583, 0.496, 7.79, 0.0411, 0.52, 0.0, 0.223, 0.477, 155.915, 
BTS, 4, 2.4010000000000002, 3.2190000000000003, 15.947, 0.3851, 0.0738, 1.68e-06, 0.8237, 2.265, 528.688, 
Eason Chan, 1, 0.295, 0.269, 12.226, 0.0408, 0.747, 0.0, 0.28, 0.559, 170.03, 
Stefanie Sun, 1, 0.427, 0.252, 14.39, 0.0335, 0.93, 0.0113, 0.106, 0.161, 93.866, 
A-Mei Chang, 5, 2.222, 1.613, 39.042, 0.1949, 4.577, 0.0, 0.607, 1.533, 494.74, 
LaLa Hsu, 3, 1.085, 0.9970000000000001, 29.863000000000003, 0.11349999999999999, 2.6340000000000003, 3.287e-05, 0.3092, 0.645, 376.178, 
�'寧�?', 1, 0.475, 0.344, 8.773, 0.0308, 0.719, 0.000603, 0.143, 0.261, 144.018, 
JJ Lin, 2, 0.917, 1.016, 14.289, 0.0638, 0.9560000000000001, 0.0, 0.1844, 0.356, 259.225, 
Zac Efron, 1, 0.684, 0.619, 7.005, 0.0386, 0.0716, 0.0, 0.122, 0.284, 125.046, 
NEIKED, 1, 0.803, 0.569, 7.392, 0.0739, 0.0623, 0.0, 0.083, 0.809, 107.986, 
Nevada, 1, 0.707, 0.883, 4.281, 0.0602, 0.0707, 0.0, 0.23, 0.541, 106.031, 
Andy Grammer, 1, 0.822, 0.544, 6.797, 0.0332, 0.562, 2.4e-05, 0.144, 0.861, 122.047, 
Migos, 3, 2.693, 1.8810000000000002, 13.5, 0.6519999999999999, 0.3549, 0.0, 0.46, 0.807, 404.102, 
Mura Masa, 1, 0.665, 0.771, 5.124, 0.14, 0.126, 0.00449, 0.27, 0.732, 88.835, 
Major Lazer, 5, 3.7270000000000003, 3.889, 22.332, 0.3542, 0.32684, 0.00070776, 0.583, 2.932, 519.903, 
Lorde, 4, 2.794, 2.213, 29.047, 0.40249999999999997, 0.47109, 0.00368556, 0.4328, 1.522, 447.967, 
Six60, 2, 1.6989999999999998, 0.959, 12.773, 0.0766, 0.035199999999999995, 2.0119999999999997e-05, 0.495, 1.164, 219.952, 
The Jackson 5, 1, 0.685, 0.565, 11.217, 0.0374, 0.285, 0.00051, 0.076, 0.96, 147.472, 
Daryl Hall & John Oates, 1, 0.666, 0.841, 3.592, 0.0312, 0.613, 0.0, 0.113, 0.84, 128.718, 
Whogaux, 1, 0.642, 0.521, 5.689, 0.064, 0.443, 0.0, 0.0766, 0.589, 99.861, 
Reket, 7, 4.662, 4.517, 60.524, 1.2341000000000002, 0.9286000000000001, 0.01516264, 1.7228999999999999, 2.659, 664.884, 
Lil Uzi Vert, 6, 4.036999999999999, 3.94, 34.35, 1.1633999999999998, 1.1412799999999999, 2.83e-05, 0.6443000000000001, 2.1471, 623.751, 
Vince Guaraldi Trio, 1, 0.388, 0.145, 19.697, 0.0318, 0.978, 6.86e-06, 0.0997, 0.0911, 75.474, 
�?a�?atay Akman, 1, 0.769, 0.837, 4.057, 0.14, 0.652, 0.0, 0.0986, 0.819, 100.962, 
Müslüm Gürses, 1, 0.424, 0.666, 6.683, 0.0473, 0.396, 0.000169, 0.12, 0.275, 160.079, 
Kalben, 1, 0.475, 0.318, 4.836, 0.0302, 0.8, 0.0, 0.168, 0.317, 81.05, 
Twenty One Pilots, 1, 0.732, 0.396, 9.348, 0.0286, 0.0841, 3.58e-05, 0.105, 0.548, 90.024, 
LP, 1, 0.433, 0.724, 6.126, 0.0372, 0.1, 0.0, 0.0918, 0.689, 174.006, 
Sagopa Kajmer, 2, 1.032, 1.2570000000000001, 16.351, 0.09709999999999999, 0.133, 0.000325, 0.381, 0.825, 254.989, 
Sezen Aksu, 3, 1.849, 2.406, 21.91, 0.418, 0.6317, 4.19e-06, 0.588, 1.626, 395.055, 
Norm Ender, 8, 5.877999999999999, 5.893, 58.419000000000004, 0.9156, 1.8856, 0.0, 1.6550000000000002, 5.968, 910.858, 
Sıla, 2, 1.124, 1.1059999999999999, 12.657, 0.28300000000000003, 1.061, 0.0, 0.456, 0.9570000000000001, 257.61400000000003, 
Super Sako, 1, 0.804, 0.768, 4.681, 0.237, 0.308, 0.0, 0.0997, 0.438, 92.005, 
Lana Del Rey, 2, 0.821, 1.028, 19.604, 0.0891, 1.043, 0.00817, 0.46799999999999997, 0.5609999999999999, 170.40800000000002, 
Ayse Hatun Onal, 1, 0.735, 0.603, 7.048, 0.0338, 0.0966, 0.0619, 0.0926, 0.644, 124.03, 
Yüzyüzeyken Konu�?uruz, 1, 0.567, 0.626, 9.059, 0.0519, 0.219, 0.966, 0.108, 0.625, 90.027, 
Anne-Marie, 1, 0.698, 0.882, 3.078, 0.0863, 0.127, 0.0, 0.15, 0.445, 106.083, 
İlyas Yalçınta�?, 1, 0.712, 0.713, 6.419, 0.0337, 0.287, 0.00206, 0.147, 0.456, 119.993, 
Deeperise, 1, 0.664, 0.422, 11.206, 0.0413, 0.21, 0.00485, 0.0968, 0.206, 194.014, 
Tarkan, 3, 2.0, 2.382, 17.976, 0.1397, 0.16544, 4.5e-06, 0.3284, 1.711, 358.015, 
Edis, 1, 0.758, 0.783, 4.583, 0.0652, 0.0256, 0.0, 0.104, 0.61, 97.993, 
Hande Yener, 1, 0.741, 0.86, 4.824, 0.0348, 0.012, 1.89e-06, 0.38, 0.761, 112.009, 
No Method, 1, 0.714, 0.786, 4.382, 0.0747, 0.183, 0.00676, 0.29, 0.63, 100.071, 
Aleyna Tilki, 2, 1.472, 1.318, 13.018, 0.0746, 0.208, 0.00282, 0.294, 1.076, 195.906, 
Mabel Matiz, 1, 0.688, 0.589, 6.346, 0.0264, 0.0096, 0.000188, 0.62, 0.821, 109.035, 
Burak King, 2, 1.116, 1.2229999999999999, 16.372, 0.1172, 0.32120000000000004, 0.00156, 0.372, 1.19, 210.49599999999998, 
Manu�? Baba, 2, 1.38, 1.42, 11.579, 0.0542, 0.921, 0.009432000000000001, 0.756, 1.2850000000000001, 248.969, 
Hadise, 1, 0.779, 0.829, 5.823, 0.0501, 0.00748, 2.3e-06, 0.0546, 0.506, 123.988, 
Vega, 1, 0.51, 0.851, 5.329, 0.032, 0.0319, 0.000588, 0.181, 0.636, 134.918, 
Ezhel, 5, 4.1, 2.781, 45.244, 1.772, 2.195, 0.000309, 0.9318000000000001, 1.974, 605.359, 
O�?uzhan Koç, 1, 0.676, 0.875, 6.746, 0.0495, 0.265, 0.0, 0.146, 0.969, 95.978, 
Ersay �?ner, 1, 0.653, 0.468, 7.568, 0.0486, 0.489, 0.0, 0.21, 0.688, 126.851, 
Tu�?ba Yurt, 1, 0.707, 0.712, 5.564, 0.0471, 0.378, 0.0, 0.0862, 0.408, 126.008, 
Eypio, 1, 0.761, 0.431, 13.207, 0.0969, 0.374, 0.00309, 0.112, 0.327, 119.991, 
Simge, 1, 0.607, 0.688, 7.814, 0.108, 0.222, 1.23e-06, 0.205, 0.404, 91.06, 
Gazapizm, 1, 0.632, 0.843, 5.716, 0.1, 0.397, 0.0, 0.132, 0.339, 129.971, 
Ceylan Ertem, 1, 0.552, 0.881, 5.389, 0.0452, 0.167, 2.99e-06, 0.346, 0.872, 79.489, 
DRAM, 1, 0.886, 0.525, 7.39, 0.131, 0.236, 0.0, 0.057, 0.708, 145.99, 
Aminé, 3, 2.8379999999999996, 1.0470000000000002, 29.107, 1.464, 0.647, 0.0, 0.598, 2.1149999999999998, 360.176, 
Big Sean, 4, 2.7880000000000003, 2.456, 26.293999999999997, 0.9699999999999999, 0.7811, 1.05e-06, 0.819, 1.188, 431.71900000000005, 
KYLE, 1, 0.746, 0.653, 6.745, 0.289, 0.378, 0.0, 0.229, 0.672, 75.016, 
Kodak Black, 2, 1.233, 1.093, 15.081, 0.516, 0.12279999999999999, 0.00016340000000000001, 0.246, 0.8049999999999999, 326.86, 
Childish Gambino, 1, 0.745, 0.356, 10.425, 0.0941, 0.172, 0.00943, 0.123, 0.607, 160.033, 
Playboi Carti, 1, 0.791, 0.581, 7.323, 0.286, 0.0113, 0.0, 0.35, 0.438, 162.99, 
Travis Scott, 1, 0.763, 0.598, 6.865, 0.0539, 0.0714, 0.0, 0.112, 0.182, 140.987, 
21 Savage, 3, 2.55, 1.128, 23.489, 0.857, 0.3612, 2.7079999999999998e-05, 0.5162, 0.995, 233.026, 
Cardi B, 2, 1.838, 1.2690000000000001, 13.305, 0.284, 0.06790399999999999, 0.000823, 0.706, 0.5566, 263.065, 
Gucci Mane, 1, 0.89, 0.633, 5.475, 0.168, 0.0232, 0.000343, 0.0993, 0.425, 139.948, 
Offset, 1, 0.88, 0.428, 8.28, 0.206, 0.149, 5.07e-05, 0.114, 0.333, 100.007, 
A$AP Ferg, 1, 0.797, 0.844, 5.482, 0.275, 0.0651, 0.0, 0.087, 0.52, 170.142, 
Huncho Jack, 5, 3.883, 3.434, 21.82, 0.5952999999999999, 0.07971, 0.00291, 0.7021999999999999, 1.7319999999999998, 658.796, 
Yandel, 2, 1.621, 1.5659999999999998, 8.428999999999998, 0.31999999999999995, 0.24029999999999999, 0.0, 0.497, 1.3860000000000001, 220.07299999999998, 
Mark Forster, 1, 0.773, 0.623, 6.173, 0.0377, 0.22, 0.0, 0.389, 0.714, 129.962, 
Alle Farben, 2, 1.504, 1.412, 12.643, 0.0725, 0.4803, 0.024134, 0.14100000000000001, 1.303, 242.019, 
Bonez MC, 1, 0.766, 0.8, 6.062, 0.0938, 0.16, 1.6e-05, 0.0744, 0.635, 129.999, 
Maître Gims, 1, 0.83, 0.765, 4.205, 0.101, 0.0232, 0.0159, 0.0754, 0.367, 102.028, 
Zuna, 1, 0.823, 0.514, 7.969, 0.421, 0.231, 3.82e-06, 0.186, 0.515, 111.24, 
RAF Camora, 6, 4.298, 4.982, 34.888999999999996, 0.9092, 2.446, 0.005578, 1.5796, 3.618, 730.892, 
Alice Merton, 1, 0.863, 0.656, 7.286, 0.104, 0.264, 0.00495, 0.0712, 0.821, 115.963, 
Kay One, 3, 2.33, 2.152, 20.485999999999997, 0.4700000000000001, 0.3122, 0.0, 0.228, 2.134, 304.054, 
Bushido, 3, 1.761, 2.264, 18.645, 1.365, 0.702, 0.0, 0.2662, 1.8090000000000002, 245.765, 
Nimo, 1, 0.837, 0.84, 4.78, 0.0447, 0.338, 2.11e-05, 0.0752, 0.845, 117.015, 
Felix Jaehn, 1, 0.755, 0.719, 5.316, 0.0421, 0.000875, 1.53e-05, 0.326, 0.813, 121.986, 
187 Strassenbande, 6, 3.8579999999999997, 4.479, 35.891, 1.9490000000000003, 0.7421, 2.0070000000000003e-05, 0.9995999999999998, 2.024, 700.249, 
Miami Yacine, 1, 0.792, 0.728, 5.449, 0.12, 0.0695, 0.0, 0.143, 0.676, 116.938, 
Gestört aber GeiL, 1, 0.748, 0.755, 7.49, 0.0563, 0.04, 0.00244, 0.0749, 0.314, 122.008, 
RIN, 1, 0.679, 0.605, 10.004, 0.265, 0.534, 0.0881, 0.192, 0.488, 194.071, 
Kollegah, 12, 7.245, 8.933000000000002, 70.218, 3.273, 1.7133, 3.09e-06, 2.4627000000000003, 5.479000000000001, 1443.9959999999999, 
Bausa, 1, 0.874, 0.487, 8.154, 0.0641, 0.393, 2.96e-05, 0.0524, 0.746, 144.956, 
Sa4, 1, 0.71, 0.618, 5.227, 0.343, 0.349, 1.81e-06, 0.0815, 0.634, 91.02, 
Capo, 1, 0.512, 0.719, 5.464, 0.0553, 0.0377, 0.0, 0.312, 0.146, 106.948, 
Ufo361, 2, 1.58, 0.929, 11.619, 0.3582, 0.3491, 0.00038679999999999997, 0.3869, 0.471, 197.368, 
Azzi Memo, 1, 0.713, 0.781, 4.427, 0.16, 0.268, 0.0, 0.0964, 0.646, 99.027, 
Katja Krasavice, 1, 0.813, 0.698, 6.845, 0.0716, 0.124, 2.55e-05, 0.073, 0.652, 112.076, 
Melanie Thornton, 1, 0.578, 0.676, 5.478, 0.033, 0.114, 0.0, 0.255, 0.524, 149.965, 
Azet, 2, 1.459, 1.736, 8.029, 0.311, 0.22111, 1.04e-06, 0.18180000000000002, 1.25, 244.701, 
Nico Santos, 1, 0.741, 0.706, 6.763, 0.137, 0.25, 0.0, 0.0648, 0.582, 82.032, 
Shakin' Stevens, 1, 0.541, 0.909, 3.101, 0.0358, 0.128, 0.0, 0.128, 0.962, 203.862, 
Queen, 1, 0.296, 0.421, 8.891, 0.0285, 0.214, 0.0, 0.232, 0.335, 83.425, 
Paul McCartney, 1, 0.774, 0.511, 8.914, 0.0319, 0.322, 0.0, 0.0672, 0.771, 94.736, 
Marama, 2, 1.404, 1.486, 12.208, 0.1567, 0.1496, 0.0, 0.1735, 1.665, 220.156, 
Don Omar, 2, 1.161, 1.7349999999999999, 8.893, 0.34230000000000005, 0.2096, 2.1e-05, 0.2333, 1.4969999999999999, 177.914, 
Mon Laferte, 3, 1.463, 1.569, 21.474, 0.094, 0.9051, 0.0089546, 0.327, 1.6109999999999998, 395.582, 
Romeo Santos, 6, 4.461, 4.1690000000000005, 40.33, 0.33459999999999995, 2.126, 0.0, 1.2895999999999999, 3.8720000000000003, 813.8599999999999, 
ONE OK ROCK, 1, 0.379, 0.69, 4.79, 0.0549, 0.0286, 0.0, 0.335, 0.288, 173.716, 
Shota Shimizu, 1, 0.719, 0.718, 4.996, 0.0316, 0.307, 0.000178, 0.0846, 0.693, 153.937, 
Suchmos, 1, 0.681, 0.938, 4.246, 0.0557, 0.0288, 0.000264, 0.0634, 0.6, 122.991, 
TWICE, 3, 2.162, 2.682, 8.546, 0.15949999999999998, 0.51458, 0.00150872, 0.895, 1.396, 391.875, 
"DAOKO�-米津�?""師", 2, 1.26, 1.335, 9.707, 0.050199999999999995, 0.495, 0.0, 0.215, 0.5529999999999999, 191.971, 
Mrs. GREEN APPLE, 1, 0.548, 0.789, 2.775, 0.054, 0.0271, 0.0, 0.0417, 0.625, 160.048, 
AAA, 1, 0.625, 0.86, 4.456, 0.0314, 0.0512, 0.0, 0.408, 0.533, 129.064, 
SEKAI NO OWARI, 1, 0.526, 0.758, 3.732, 0.0256, 0.171, 0.0, 0.304, 0.482, 97.954, 
MC G15, 2, 1.53, 1.116, 3.9879999999999995, 0.12140000000000001, 0.5271, 0.0, 0.13040000000000002, 1.589, 217.76399999999998, 
Maiara & Maraisa, 3, 1.77, 2.482, 11.331, 0.4003, 1.33, 0.0, 2.614, 1.434, 339.16, 
Marília Mendonça, 2, 1.7069999999999999, 1.2850000000000001, 11.817, 0.0723, 1.11, 1.76e-05, 0.386, 1.392, 250.096, 
Wesley Safadão, 2, 1.27, 1.822, 7.275, 0.1526, 0.1767, 3.86e-06, 1.1800000000000002, 1.5110000000000001, 261.75300000000004, 
Naiara Azevedo, 1, 0.778, 0.826, 2.798, 0.212, 0.206, 0.0, 0.761, 0.759, 139.042, 
Matheus & Kauan, 2, 1.431, 1.475, 8.579, 0.1617, 0.353, 0.0, 1.0030000000000001, 1.375, 249.00400000000002, 
Simone & Simaria, 2, 1.315, 1.7109999999999999, 7.18, 0.311, 0.1391, 0.0, 0.464, 1.5299999999999998, 318.0, 
Nego do Borel, 1, 0.854, 0.682, 5.818, 0.069, 0.374, 0.0, 0.0697, 0.887, 98.023, 
Henrique & Juliano, 2, 1.296, 1.666, 12.646, 0.516, 0.392, 0.0, 0.626, 1.382, 271.332, 
Henrique & Diego, 2, 1.299, 1.842, 6.357, 0.1396, 0.6739999999999999, 0.0, 1.91, 1.467, 242.969, 
Bruninho & Davi, 1, 0.585, 0.984, 3.473, 0.109, 0.357, 0.0, 0.91, 0.683, 150.045, 
Luan Santana, 1, 0.699, 0.739, 6.198, 0.0513, 0.6, 0.00361, 0.389, 0.764, 92.989, 
MC WM, 1, 0.871, 0.478, 1.919, 0.0925, 0.271, 0.000784, 0.103, 0.661, 86.58, 
Mc Zaac, 1, 0.895, 0.691, 1.214, 0.0645, 0.177, 0.000196, 0.0706, 0.782, 129.969, 
