name,nTracks,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Petit Biscuit, 1, 0.783, 0.467, 9.474, 0.0503, 0.729, 0.809, 0.109, 0.236, 90.838, 
Rag'n'Bone Man, 2, 1.1669999999999998, 1.452, 11.83, 0.612, 0.658, 0.0, 0.312, 0.906, 245.744, 
PNL, 2, 1.472, 1.269, 14.655999999999999, 0.1455, 0.883, 0.000175, 0.22799999999999998, 1.1280000000000001, 191.06900000000002, 
Vianney, 1, 0.635, 0.469, 8.851, 0.0428, 0.715, 5.02e-06, 0.133, 0.281, 146.995, 
KeBlack, 1, 0.772, 0.783, 6.257, 0.0353, 0.336, 0.0, 0.163, 0.71, 103.079, 
Burak Yeter, 2, 1.68, 1.284, 12.136, 0.1498, 0.0315, 0.0882, 0.1114, 1.315, 197.974, 
ZAYN, 2, 0.993, 0.888, 14.967, 0.0975, 0.16410000000000002, 1.4269999999999999e-05, 0.431, 0.1829, 298.016, 
Sofiane, 3, 2.0789999999999997, 2.332, 13.36, 0.9219999999999999, 0.9418, 0.0, 0.641, 1.598, 359.866, 
Lacrim, 18, 13.676000000000004, 11.591999999999999, 136.074, 4.603600000000001, 4.1334, 0.002405740000000001, 2.4896999999999996, 6.6803, 2286.1369999999997, 
Starley, 1, 0.67, 0.838, 4.031, 0.0362, 0.0604, 0.000611, 0.159, 0.717, 104.998, 
Ofenbach, 2, 1.616, 1.459, 12.408999999999999, 0.1049, 0.22010000000000002, 0.0006464, 0.13190000000000002, 1.377, 248.012, 
Martin Garrix, 5, 2.779, 2.7720000000000002, 36.425000000000004, 0.27399999999999997, 0.7818, 0.0, 1.315, 0.847, 664.8140000000001, 
Jax Jones, 3, 2.6399999999999997, 1.996, 18.167, 0.41400000000000003, 0.486, 0.0, 0.4627, 2.036, 371.96799999999996, 
Future, 1, 0.833, 0.434, 8.795, 0.431, 0.0102, 0.0219, 0.165, 0.281, 150.062, 
SCH, 3, 2.0220000000000002, 2.222, 18.899, 0.78, 1.0421999999999998, 0.0267, 0.2828, 0.945, 321.882, 
Benash, 1, 0.715, 0.703, 6.687, 0.165, 0.367, 0.0, 0.147, 0.569, 88.47, 
Kendrick Lamar, 12, 8.129999999999999, 6.908, 101.79, 3.2018000000000004, 2.1003220000000002, 0.09940270999999999, 2.3143000000000002, 5.871, 1588.4240000000002, 
Damso, 10, 7.295, 6.083, 79.194, 1.3741, 3.2374, 0.00052176, 0.8721, 4.397, 1367.482, 
DJ Khaled, 3, 1.879, 2.007, 11.645, 0.1422, 0.1414, 0.0, 0.41900000000000004, 2.2600000000000002, 259.88800000000003, 
Mister V, 7, 5.191000000000001, 4.854, 43.551, 1.1524, 1.5173899999999998, 1.25e-05, 1.0994000000000002, 4.311, 1000.425, 
Jason Derulo, 2, 1.541, 1.5259999999999998, 8.408999999999999, 0.1804, 0.0983, 0.0, 0.281, 1.4020000000000001, 196.12599999999998, 
Lartiste, 2, 1.51, 1.447, 11.021, 0.24280000000000002, 0.4502, 0.0, 0.1709, 1.5779999999999998, 224.957, 
Charlie Puth, 4, 3.2139999999999995, 2.401, 22.687, 0.3361, 1.0769, 3.481e-05, 0.4223, 2.798, 420.056, 
David Guetta, 1, 0.548, 0.65, 5.827, 0.0591, 0.219, 0.0, 0.225, 0.557, 144.937, 
�?dyssey, 1, 0.691, 0.768, 4.247, 0.0924, 0.144, 0.0, 0.142, 0.526, 110.977, 
French Montana, 2, 1.452, 1.538, 10.086, 0.246, 0.0586, 0.0202, 0.208, 1.466, 195.97, 
Jul, 1, 0.828, 0.801, 5.907, 0.0924, 0.286, 9.67e-06, 0.362, 0.778, 127.971, 
Booba, 11, 8.569, 7.874, 50.583000000000006, 2.0522, 5.428000000000001, 0.018363780000000007, 1.0725999999999998, 5.701, 1468.967, 
Ninho, 10, 7.478, 6.491, 71.79, 2.831, 3.7309999999999994, 0.0, 1.9316999999999998, 4.146000000000001, 1284.61, 
Niska, 12, 9.939, 7.855, 69.15500000000002, 2.3280000000000003, 2.459, 1.05e-05, 1.4248, 4.927999999999999, 1635.9759999999999, 
Imagine Dragons, 6, 3.9000000000000004, 4.524, 29.57, 0.41669999999999996, 0.16115, 0.36000881, 0.8330000000000001, 2.5617, 852.7800000000001, 
Jonas Blue, 3, 2.222, 2.373, 12.619, 0.1366, 0.309, 0.0, 0.15910000000000002, 1.6090000000000002, 312.11800000000005, 
Macklemore, 2, 1.462, 1.588, 10.252, 0.1044, 0.0646, 5.18e-05, 0.224, 0.712, 279.988, 
Siboy, 1, 0.812, 0.803, 5.386, 0.141, 0.11, 0.0, 0.0637, 0.93, 123.066, 
Alonzo, 1, 0.519, 0.843, 6.432, 0.189, 0.0158, 6.42e-06, 0.245, 0.556, 120.015, 
Hornet La Frappe, 2, 1.669, 1.3940000000000001, 12.565999999999999, 0.268, 0.839, 0.0, 0.38, 0.631, 273.926, 
Camila Cabello, 3, 1.8530000000000002, 1.7129999999999999, 14.193, 0.44630000000000003, 0.918, 6.08e-05, 0.4, 1.3699999999999999, 295.25, 
Orelsan, 11, 7.736, 7.734, 65.369, 2.8048, 3.2138999999999998, 5.54e-05, 1.6723000000000001, 5.178999999999999, 1303.755, 
Sadek, 1, 0.678, 0.869, 6.354, 0.291, 0.0895, 3.22e-06, 0.164, 0.457, 103.385, 
Kalash, 2, 1.566, 1.077, 13.661, 0.1658, 0.46499999999999997, 0.0, 0.211, 0.61, 310.04200000000003, 
Post Malone, 5, 3.108, 3.083, 28.382, 0.3346, 1.1749, 0.0002173, 0.8074, 1.4769999999999999, 676.6669999999999, 
Dadju, 2, 1.053, 1.0750000000000002, 16.162, 0.3011, 1.083, 0.0, 0.1822, 1.421, 205.35, 
Lil Pump, 1, 0.936, 0.523, 6.71, 0.0597, 0.239, 0.0, 0.117, 0.699, 119.889, 
Johnny Hallyday, 2, 0.878, 0.881, 22.716, 0.1197, 0.6851, 0.0, 0.448, 0.71, 236.25, 
Mariah Carey, 1, 0.335, 0.625, 7.462, 0.0386, 0.164, 0.0, 0.0708, 0.346, 150.277, 
Wham!, 1, 0.735, 0.478, 12.472, 0.0293, 0.189, 2.48e-06, 0.355, 0.947, 107.682, 
Frank Sinatra, 1, 0.603, 0.321, 11.489, 0.0599, 0.881, 0.0, 0.34, 0.844, 143.104, 
The Drifters, 1, 0.61, 0.318, 12.26, 0.0303, 0.165, 0.00227, 0.115, 0.453, 62.557, 
Michael Bublé, 3, 1.699, 1.285, 25.264, 0.1322, 2.4059999999999997, 9.21e-06, 0.5782, 1.9289999999999998, 367.46500000000003, 
Vald, 1, 0.745, 0.494, 8.367, 0.354, 0.426, 0.0, 0.116, 0.397, 150.08, 
France Gall, 1, 0.677, 0.856, 7.177, 0.0506, 0.498, 2.64e-05, 0.0659, 0.949, 105.977, 
Rombai, 2, 1.2730000000000001, 1.481, 13.114, 0.22719999999999999, 0.2071, 0.0024668999999999997, 0.458, 1.8290000000000002, 310.712, 
MC Kevinho, 4, 3.098, 2.649, 19.247, 0.5925, 1.075, 7.63e-05, 0.41359999999999997, 2.72, 443.8689999999999, 
DJ Jonathan, 1, 0.726, 0.705, 4.458, 0.0636, 0.247, 0.0, 0.409, 0.39, 120.053, 
Farruko, 4, 3.048, 2.348, 24.648, 0.3973, 0.30310000000000004, 0.0, 0.632, 1.641, 536.0980000000001, 
Duki, 1, 0.854, 0.556, 4.49, 0.14, 0.345, 0.0, 0.165, 0.342, 119.938, 
Cazzu, 1, 0.834, 0.753, 3.011, 0.0486, 0.342, 0.0, 0.108, 0.462, 113.058, 
Arttu Lindeman, 4, 2.704, 2.9299999999999997, 21.441000000000003, 0.5556, 0.916, 3.68e-06, 1.3001, 2.357, 502.86899999999997, 
Alan Walker, 4, 2.678, 3.194, 19.198, 0.2011, 0.5531999999999999, 0.0023150000000000002, 0.7193, 1.51, 446.946, 
Mikael Gabriel, 7, 4.063, 5.071, 37.63900000000001, 0.6418, 0.37468, 0.000507, 1.2861, 3.79, 786.8729999999999, 
Profeetat, 6, 3.873, 4.951, 30.229999999999997, 0.9017, 0.36819999999999997, 0.0, 1.7020000000000002, 2.91, 650.697, 
Steve Aoki, 1, 0.647, 0.932, 3.515, 0.0824, 0.00383, 1.5e-06, 0.0574, 0.374, 114.991, 
